Six-core Opteron 2400	904,000,000	2009	AMD	45 nm	346 mm²
16-core SPARC T3	1,000,000,000[22]	2010	Sun/Oracle	40 nm	377 mm²
8-core POWER7 32M L3	1,200,000,000	2010	IBM	45 nm	567 mm²
8-core Xeon Nehalem-EX	2,300,000,000[30]	2010	Intel	45 nm	684 mm²
Quad-core Itanium Tukwila	2,000,000,000[28]	2010	Intel	65 nm	699 mm²
Quad-core z196[24]	1,400,000,000	2010	IBM	45 nm	512 mm²
Six-core Core i7 (Gulftown)	1,170,000,000	2010	Intel	32 nm	240 mm²
10-core Xeon Westmere-EX	2,600,000,000	2011	Intel	32 nm	512 mm²
Quad-core + GPU Core i7	1,160,000,000	2011	Intel	32 nm	216 mm²
Six-core Core i7/8-core Xeon E5 (Sandy Bridge-E/EP)	2,270,000,000[29]	2011	Intel	32 nm	434 mm²
61-core Xeon Phi	5,000,000,000[34]	2012	Intel	22 nm	350 mm²
8-core AMD Bulldozer	1,200,000,000[23]	2012	AMD	32 nm	315 mm²
8-core Itanium Poulson	3,100,000,000	2012	Intel	32 nm	544 mm²
8-core POWER7+ 80 MB L3 cache	2,100,000,000	2012	IBM	32 nm	567 mm²
Quad-core + GPU AMD Trinity	1,303,000,000	2012	AMD	32 nm	246 mm²
Quad-core + GPU Core i7 Ivy Bridge	1,400,000,000	2012	Intel	22 nm	160 mm²
Six-core zEC12	2,750,000,000	2012	IBM	32 nm	597 mm²
12-core POWER8	4,200,000,000	2013	IBM	22 nm	650 mm²
Apple A7 (dual-core ARM64 "mobile SoC")	1,000,000,000	2013	Apple	28 nm	102 mm²
Six-core Core i7 Ivy Bridge E	1,860,000,000	2013	Intel	22 nm	256 mm²
Xbox One main SoC	5,000,000,000	2013	Microsoft/AMD	28 nm	363 mm²
15-core Xeon Ivy Bridge-EX	4,310,000,000[33]	2014	Intel	22 nm	541 mm²
18-core Xeon Haswell-E5	5,560,000,000[35]	2014	Intel	22 nm	661 mm²
8-core Core i7 Haswell-E	2,600,000,000[31]	2014	Intel	22 nm	355 mm²
Apple A8 (dual-core ARM64 "mobile SoC")	2,000,000,000	2014	Apple	20 nm	89 mm²
Apple A8X (tri-core ARM64 "mobile SoC")	3,000,000,000[32]	2014	Apple	20 nm	128 mm²
Quad-core + GPU Core i7 Haswell	1,400,000,000[25]	2014	Intel	22 nm	177 mm²
Duo-core + GPU Iris Core i7 Broadwell-U	1,900,000,000[27]	2015	Intel	14 nm	133 mm²
IBM z13	3,990,000,000	2015	IBM	22 nm	678 mm²
IBM z13 Storage Controller	7,100,000,000	2015	IBM	22 nm	678 mm²
Quad-core + GPU GT2 Core i7 Skylake K	cca 1,750,000,000	2015	Intel	14 nm	122 mm²
SPARC M7	10,000,000,000[37]	2015	Oracle	20 nm	
22-core Xeon Broadwell-E5	~7,200,000,000[36]	2016	Intel	14 nm	456 mm²
